permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,route_location_origin,authorizedhighways,route_location_1,route_location_2,route_location_3,route_location_4,route_location_5,route_location_6,route_location_7,route_location_8,route_location_9,route_location_10,route_location_11,route_location_12,route_location_13,route_location_14,route_location_15,route_location_16,route_location_17,route_location_18,route_location_19,route_location_20,route_location_21,route_location_22,route_location_23,route_location_24
e23-000211,2023,01/05/2023,01/11/2023,UNLADEN BLADE TRAILER,California,Lompoc,Stockton,"santa lucia cyn rd Lompoc, California",* from santa lucia cyn rd - 001n - 135n - to union valley pkwy exit (union valley pkwy) ** from union valley pkwy e/b on ramp - 101n - 046e - 005n - 004w - to port of stockton expressway exit (port of stockton expressway) *,SR-1,SR-135,union valley pkwy,US-101,SR-46,I-5,SR-4,port of stockton expressway,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000216,2023,01/04/2023,01/10/2023,STEEL PLATE,California,Fresno,Fresno,"jensen ave Fresno, California",* from jensen ave w/b on ramp - 099n - to clinton ave exit (clinton ave e/b off ramp exit number 136) *,SR-99,clinton ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000108,2023,01/03/2023,01/09/2023,VOLVO EXCAVATOR,California,Long Beach,Nv Line 15,"harbor scenic dr Long Beach, California",* from harbor scenic dr on ramp - 710n - 105e - 605n - 10e - 57n - 210e - 15n - to nv line 15 *,I-710,I-105,I-605,I-10,SR-57,SR-210,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000217,2023,01/04/2023,01/10/2023,STEEL PLATE,California,Fresno,Paso Robles,"clinton ave Fresno, California",* from clinton ave w/b on ramp - 099s - 041s - 046w - to 24th st exit (24th st) *,SR-99,SR-41,SR-46,SR-24,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000221,2023,01/03/2023,01/09/2023,JD 160 EXCAVATOR,California,Campo,Az Line,"forest gate rd Campo, California",* from forest gate rd - 094e - to buckman springs rd( s1) exit (buckman springs rd (s1)) ** from buckman springs rd n/b on ramp - 008e - to az line 8 exit *,SR-94,buckman springs rd,I-8,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000220,2023,01/03/2023,01/09/2023,STEEL FRAME,California,Otay Mesa,San Bernardino,"commercial vehicle border entrance Otay Mesa, California",* from commercial vehicle border entrance - 905w - to chp commercial inspection exit (chp commercial inspection station) ** from siempre viva rd s/b on ramp - 905w - 805n - 015n - 215n - 010e - to tippecanoe ave exit (tippecanoe ave n/b off ramp exit number 74) *,SR-905,chp commercial inspection,SR-905,I-805,I-15,I-215,I-10,tippecanoe ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000232,2023,01/03/2023,01/09/2023,2 AIRCRAFT PARTS - CRATED FOR PROTECTION End to End,California,"100 S Broad Ave, Wilimington, Ca",Az Line,"harry bridges blvd 100 S Broad Ave, Wilimington, Ca, California",* from harry bridges blvd w/b on ramp - 110n - 001s - 710n - 405s - 605n - 010e - 015n - 040e - to az line 40 exit *,SR-110,SR-1,I-710,I-405,I-605,I-10,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000219,2023,01/03/2023,01/09/2023,43 TIARA POWERBOAT,California,Newport Beach,Alpine,"jamboree rd Newport Beach, California",* from jamboree rd - 001n - to costa mesa/ rte 55 north exit (old newport blvd ) ** from old newport blvd - 055n - 405s - 005s - 805s - 008e - to tavern rd exit (tavern rd n/b off ramp exit number 30) *,SR-1,costa mesa/ rte 55 north,SR-55,I-405,I-5,I-805,I-8,tavern rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000218,2023,01/04/2023,01/10/2023,JOHN DEERE TD3427 HAY/FORAGE ATTACHMENT,California,Az Line,"3275 Ca-86, Imperial","az line Az Line, California",* from az line 8 - 008w - 111n - to harris rd exit (harris rd) *,I-8,SR-111,harris rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000262,2023,01/04/2023,01/10/2023,3600 TIARA CORONET POWERBOAT,California,Newport Beach,Arizona Line/10,"newport blvd Newport Beach, California",* from newport blvd - 055n - 005n - 057n - 060e - 015n - 010e - to az line 10 exit *,SR-55,I-5,SR-57,SR-60,I-15,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000223,2023,01/03/2023,01/09/2023,MODULAR HOUSE,California,Or Line,San Jose,"or line Or Line, California",* from or line 5 - 005s - 505s - 080w - 680s - 262(mission blvd) - 880s - 280n - to saratoga ave exit (saratoga ave w/b off ramp) *,I-5,I-505,I-80,I-680,SR-262,I-880,I-280,saratoga ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000222,2023,01/03/2023,01/09/2023,ROCKET AFTERBURNER,California,Bell Gardens,San Bernardino,"florence ave Bell Gardens, California",* from florence ave w/b on ramp - 710n - 010e - to tippecanoe ave exit (anderson st s/b off ramp exit number 74) *,I-710,I-10,tippecanoe ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000225,2023,01/06/2023,01/12/2023,2 Tractors End to End Make: CAT Model: 305CR; D3 SN: 5G502024; XKY04523,California,Az Line,"50 Enterprise Ct, Napa, Ca, 94558","az line Az Line, California",* from az line 40 - 040w - 015s - 058w - 099n - 046w - 005n - 580w - 680n - 780w - 080e - 037w - 029n - 221n - to syar industries exit (syar industries const) *,I-40,I-15,SR-58,SR-99,SR-46,I-5,I-580,I-680,SR-780,I-80,SR-37,SR-29,SR-221,syar industries,None,None,None,None,None,None,None,None,None,None
e23-000242,2023,01/04/2023,01/10/2023,LINKBELT 5800 EXCAVATOR,California,Covina,Lake Elsinore,"holt ave Covina, California",* grand ave uc (west covina) under 210 * from holt ave n/b on ramp - 010e - 057s - 060w - to grand ave exit (grand ave s/b off ramp exit number 24b) - from grand ave s/b on ramp - 060e - 071s - 091e - 015s - 074w - to grand ave exit (grand ave) *,I-10,SR-57,SR-60,grand ave,grand ave,SR-60,SR-71,SR-91,I-15,SR-74,grand ave,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000163,2023,01/03/2023,01/09/2023,MODULAR BUILDING (WCS 1300768),California,Ca Line 395,San Jose,"nv line Ca Line 395, California",* from nv line 395(north) - 395n - 70w - 49s - 89s - 80w - 680s - 101s - to capitol expwy w/b off ramp exit 382 *,US-395,SR-70,SR-49,SR-89,I-80,I-680,US-101,capitol expwy w/b off ramp,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000226,2023,01/03/2023,01/09/2023,MACHINING CENTER,California,Wilmington,Nv Line,"harbor ave Wilmington, California",* from harbor ave - 001s - 710n - 105e - 605n - 210e - 015n - to nv line 15 exit *,SR-1,I-710,I-105,I-605,SR-210,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000164,2023,01/03/2023,01/09/2023,UNLADEN (WCS 1300768),California,San Jose,Nv Line 80,"capitol expressway e San Jose, California",* from capitol expressway e/b on ramp - 101n - 680n - 80e - to nv line 80 exit *,US-101,I-680,I-80,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000234,2023,01/04/2023,01/10/2023,WATER BATH VAPORIZER,California,Murrieta,Nv Line,"murrieta hot sprgs rd Murrieta, California",* murrieta hot springs rd over hwy 15 * from murrieta hot sprgs rd e/b on ramp - 215n - 015n - to nv line 15 exit *,I-215,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000238,2023,01/03/2023,01/09/2023,BATTERY,California,San Pedro,Boron,"seaside fwy San Pedro, California",* from seaside fwy - 710n - 105w - 405n - 005n - 014n - 058e - 395n - to farmington rd exit (farmington rd) *,I-710,I-105,I-405,I-5,SR-14,SR-58,US-395,farmington rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000245,2023,01/04/2023,01/10/2023,PRESS PUNCH MACHINE,California,Pomona,Woodland,"mission blvd Pomona, California",* from mission blvd w/b on ramp - 071n - 057n - 210w - 005n - to templin highway exit (templin highway e/b off ramp exit number 183) - detour via ramps - from templin highway w/b on ramp - 005n - 580w - 680n - 080e - 113n - 005n - 113n - to churchill downs ave exit (churchill downs ave) *,SR-71,SR-57,SR-210,I-5,templin highway,detour via ramps,templin highway,I-5,I-580,I-680,I-80,SR-113,I-5,SR-113,churchill downs ave,None,None,None,None,None,None,None,None,None
e23-000166,2023,01/03/2023,01/09/2023,JOHN DEERE 470 EXCAVATOR W/ ATTACHMENT DETACHED AND RELOADED,California,Huntington Beach,Hawthorne,"heil ave Huntington Beach, California",* from heil ave - 039n - 022w - 405n - 022w - 001n - to wilmington blvd exit (wilmington blvd) *,SR-39,SR-22,I-405,SR-22,SR-1,wilmington blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000236,2023,01/04/2023,01/10/2023,BAILER,California,Ca,Blythe,"nv line Ca, California",* from nv line 95 - 095s - 040e - 095s - to intake blvd exit (intake blvd) *,US-95,I-40,US-95,intake blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000240,2023,01/03/2023,01/09/2023,WIRE MESH,California,Az Line,Ontario,"az line Az Line, California",* from az line 10 - 010w - 060w - 215n - 060w - to hamner ave exit (south hamner ave s/b off ramp) *,I-10,SR-60,I-215,SR-60,hamner ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000244,2023,01/05/2023,01/11/2023,VOLVO L120H LOADER,California,Nevada Line  395,San Leandro,"nv line Nevada Line  395, California",* from nv line 395(north) - 395n - 070w - 049s - 089s - 080w - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) ** from east st w/b on ramp - 005s - 113s - 080w - 680s - 580w - 238n - 880n - to marina blvd exit (marina blvd w/b off ramp exit number 33b) *,US-395,SR-70,SR-49,SR-89,I-80,I-5,SR-113,I-5,SR-113,I-80,I-680,I-580,SR-238,I-880,marina blvd,None,None,None,None,None,None,None,None,None
e23-000239,2023,01/04/2023,01/10/2023,WELL DRILLING RIG,California,Strathmore,Pixley,"rd Strathmore, California",* from rd 192/co hwy j27/dettle ave - 190w - to road 152 exit (rd 152 / bliss ln) *,SR-190,road,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000243,2023,01/04/2023,01/10/2023,4522 -  VOLVO 750 EXCAVATOR (WCS# 1301054),California,Arizona State Line,Los Angeles,"az line Arizona State Line, California",* from az line 62 - 062w - 010w - 605s - 105w - 710n - to firestone blvd exit (firestone blvd w/b off ramp exit number 13) *,SR-62,I-10,I-605,I-105,I-710,firestone blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000150,2023,01/03/2023,01/09/2023,UNLADEN W/ JEEP DECK,California,Oregon Line,Long Beach,"or line Oregon Line, California",* from or line 5 - 005s - 210e - 605s - 022w - 001n - to east anaheim st exit (los altos plaza/east anaheim st) *,I-5,SR-210,I-605,SR-22,SR-1,east anaheim st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000255,2023,01/03/2023,01/09/2023,"Crane boom and jib, 2 pcs, end-to-end",California,Or Line 97,El Segundo,"or line Or Line 97, California",* from or line 97 - 97s - 5s - 405s - to el segundo blvd exit (el segundo blvd w/b off ramp exit 44) *,US-97,I-5,I-405,el segundo blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000254,2023,01/03/2023,01/09/2023,POWERSCREEN,California,Or Line,Dixon,"or line Or Line, California",* from or line 5 - 5s - to montague rd over rte 3 w/b off ramp exit number 776-detour via ramps-from montague rd over rte 3 e/b on ramp - 005s - to miner st w/b off ramp exit number 775** from center st e/b on ramp - 005s - to red bluff w/b off ramp exit number 651 ** from main st(north) @ beegum rd - 036e - to walnut st/co rd a-7** from south main st e/b on ramp - 005s - 113s - 080w - 113s - to industrial way/regency pkwy exit (industrial way) *,I-5,montague rd,detour via ramps,montague rd,I-5,miner st,I-5,red bluff w/b off ramp,SR-36,walnut st,SR-7,I-5,SR-113,I-80,SR-113,industrial way,None,None,None,None,None,None,None,None
e23-000249,2023,01/03/2023,01/09/2023,AD30 CAT MINING TRUCK,California,Long Beach,Nevada Line 15,"harbor scenic dr Long Beach, California",* from harbor scenic dr on ramp - 710n - 105e - 605n - 010e - 015n - to nv line 15 exit *,I-710,I-105,I-605,I-10,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000248,2023,01/04/2023,01/10/2023,BP7 - VOLVO 480 EXCAVATOR (WCS# 1301063),California,Long Beach,Sacramento,"seaside fwy Long Beach, California",* from seaside fwy - 710n - 105e - 605n - 210w - to foothill bl s/b off ramp exit# 21* from gould ave n/b on ramp - 210w - 005n - to templin hwy e/b off ramp exit# 183 - detour via ramps- from templin hwy w/b on ramp - 005n - 004e - 099n - 012w - 005n - to fruitridge rd exit (seamas ave e/b off ramp) *,I-710,I-105,I-605,SR-210,foothill bl s/b off ramp,SR-210,I-5,templin hwy,detour via ramps,templin hwy,I-5,SR-4,SR-99,SR-12,I-5,fruitridge rd,None,None,None,None,None,None,None,None
e23-000168,2023,01/03/2023,01/09/2023,JD EXCAVATOR,California,Bakersfield,Corona,"merle haggard dr Bakersfield, California",* from merle haggard dr - 065s - 099s - 058e - 015s - to indian truck trail exit (indian truck trail e/b off ramp) *,SR-65,SR-99,SR-58,I-15,indian truck trail,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000246,2023,01/03/2023,01/09/2023,JOHN DEERE 9570 TRACTOR,California,Az Line,"9790 W Mt Whitney Ave, Riverdale, Ca","az line Az Line, California",* from az line 40 - 040w - 015s - 058w - 099n - 198w - 041n - to mt whitney ave exit (mt whitney ave) *,I-40,I-15,SR-58,SR-99,SR-198,SR-41,mt whitney ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000256,2023,01/03/2023,01/09/2023,JET ENGINE TRAILER,California,Oregon,Arizona,"or line Oregon, California",* from or line 5 - 005s - 210e - 215s - 010e - to az line 10 exit *,I-5,SR-210,I-215,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000320,2023,01/06/2023,01/12/2023,EMPTY 2ND STAGE ROCKET | NON HAZMAT,California,Az Line 8,Vandenberg Space Force Base,"az line Az Line 8, California",* from az line 8 - 8w - 111n - 78w - 86n - 10w - 215n - 15n - 395n - 18w - 138w - to 165th st east exit * from ave `d` w/b on ramp - 138w - 5n - 166w - 33s - 166w - 101s - 135s - to donovan rd exit * from donovan rd e/b on ramp - 101s - to union valley pkwy exit w/b off ramp * from union valley pkwy - 135s - 1s - to santa lucia cyn rd exit *,I-8,SR-111,SR-78,SR-86,I-10,I-215,I-15,US-395,SR-18,SR-138,SR-165,SR-138,I-5,SR-166,SR-33,SR-166,US-101,SR-135,donovan rd,US-101,union valley pkwy,SR-135,SR-1,santa lucia cyn rd
e23-000167,2023,01/03/2023,01/09/2023,MOBILE HOME,California,Pala,Perris,"rosemary Pala, California",* from rosemary`s mountain quarry - 076w - 015n - 215n - to ramona expwy exit (cajalco expwy w/b off ramp) *,SR-76,I-15,I-215,ramona expwy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000253,2023,01/04/2023,01/10/2023,HEATER EXCHANGER,California,Arizona State Line,Martinez,"az line Arizona State Line, California",* from az line 40 - 040w - 015s - 058w - 099n - 152w - 005n - 580w - 680n - to pacheco blvd exit (pacheco blvd w/b off ramp exit number 54) *,I-40,I-15,SR-58,SR-99,SR-152,I-5,I-580,I-680,pacheco blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000260,2023,01/04/2023,01/10/2023,85' WOOD POWER POLE,California,Commerce,Long Beach,"washington blvd Commerce, California",* from washington blvd w/b on ramp - 605s - 105w - 710s - 1s - to magnolia ave exit (magnolia ave) *,I-605,I-105,I-710,SR-1,magnolia ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000252,2023,01/04/2023,01/10/2023,HEATER EXCHANGER,California,Arizona State Line,Martinez,"az line Arizona State Line, California",* from az line 40 - 040w - 015s - 058w - 099n - 152w - 005n - 580w - 680n - to pacheco blvd exit (pacheco blvd w/b off ramp exit number 54) *,I-40,I-15,SR-58,SR-99,SR-152,I-5,I-580,I-680,pacheco blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000250,2023,01/04/2023,01/10/2023,HEATER EXCHANGER,California,Arizona State Line,Martinez,"az line Arizona State Line, California",* from az line 40 - 040w - 015s - 058w - 099n - 152w - 005n - 580w - 680n - to pacheco blvd exit (pacheco blvd w/b off ramp exit number 54) *,I-40,I-15,SR-58,SR-99,SR-152,I-5,I-580,I-680,pacheco blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000261,2023,01/03/2023,01/09/2023,TURBINE BASE,California,Az Line 8,San Diego,"az line Az Line 8, California",* from az line 8 - 8w - 15n - to balboa ave w/b off ramp # 9 *,I-8,I-15,balboa ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000257,2023,01/03/2023,01/09/2023,TESLA BATTERY,California,Nv Line I-395N,Oakland,"nv line Nv Line I-395N, California",* from nv line 395(no-th) - 395n - 070w - 049s - 089s - 080w - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) ** from east st w/b on ramp - 005s - 113s - 080w - 880s - to 98th ave exit (98th ave e/b off ramp exit number 35) *,th),US-395,SR-70,SR-49,SR-89,I-80,I-5,SR-113,I-5,SR-113,I-80,I-880,SR-98,None,None,None,None,None,None,None,None,None,None,None
