ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
200,LA,105,SoCst-5,,7,,8,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
201,LA,105,SoCst-5,,8,,9,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
202,LA,105,SoCst-5,,9,,10,,FY23/Q3,1,,,,,,1,,,,75,,X,,,X,X,,,,,75,75
203,LA,105,SoCst-5,,10,,11,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
204,LA,105,SoCst-5,,11,,12,,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,X,,,X,50,50
205,LA,105,SoCst-5,,12,,13,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
206,LA,105,SoCst-5,,13,,14,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
207,LA,105,SoCst-5,,14,,15,,FY23/Q3,,,1,,1,1,,,,,50,,X,,,X,,,X,,X,25,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,LA,110,SoCst-5,,3,,4,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
209,LA,110,SoCst-5,,4,,5,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
210,LA,110,SoCst-5,,5,,6,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
